Date,SomeCrazyDescription,Category,Amount,Type
2024-01-15,Sales Transaction,Sales,3245.67,Income
2024-02-03,Office Supplies Transaction,Office Supplies,-2134.89,Expense
2024-03-21,Services Transaction,Services,1876.54,Income
2024-01-28,Services Transaction,Services,4123.45,Income
2024-02-14,Utilities Transaction,Utilities,-1234.56,Expense
2024-04-02,Commission Transaction,Commission,2987.65,Income
2024-05-17,Payroll Transaction,Payroll,-3567.89,Expense
2024-03-09,Services Transaction,Services,3654.21,Income
2024-06-11,Services Transaction,Services,2345.67,Income
2024-07-23,Insurance Transaction,Insurance,-1765.43,Expense
2024-08-05,Advertising Transaction,Advertising,-2987.65,Expense
2024-09-19,Rent Transaction,Rent,-2456.78,Expense
2024-10-30,Payroll Transaction,Payroll,-3123.45,Expense
2024-11-14,Rent Transaction,Rent,-1876.54,Expense
2024-12-28,Office Supplies Transaction,Office Supplies,-2345.67,Expense
2024-01-07,Office Supplies Transaction,Office Supplies,-1234.56,Expense
2024-02-21,Commission Transaction,Commission,3456.78,Income
2024-03-15,Advertising Transaction,Advertising,-3987.65,Expense
2024-04-29,Rent Transaction,Rent,-1543.21,Expense
2024-05-13,Rent Transaction,Rent,-3876.54,Expense
2024-06-26,Sales Transaction,Sales,2765.43,Income
2024-07-10,Insurance Transaction,Insurance,-1432.10,Expense
2024-08-24,Services Transaction,Services,2987.65,Income
2024-09-08,Utilities Transaction,Utilities,-1876.54,Expense
2024-10-22,Investments Transaction,Investments,4567.89,Income
2024-11-05,Investments Transaction,Investments,3987.65,Income
2024-12-19,Commission Transaction,Commission,2654.32,Income
2024-01-31,Commission Transaction,Commission,3123.45,Income
2024-02-15,Investments Transaction,Investments,4789.12,Income
2024-03-30,Travel Transaction,Travel,-3456.78,Expense
2024-04-13,Insurance Transaction,Insurance,-987.65,Expense
2024-05-27,Services Transaction,Services,2345.67,Income
2024-06-10,Utilities Transaction,Utilities,-876.54,Expense
2024-07-24,Investments Transaction,Investments,3876.54,Income
2024-08-07,Utilities Transaction,Utilities,-3987.65,Expense
2024-09-21,Investments Transaction,Investments,2987.65,Income
2024-10-05,Commission Transaction,Commission,4567.89,Income
2024-11-19,Commission Transaction,Commission,3654.32,Income
2024-12-03,Commission Transaction,Commission,4123.45,Income
2024-01-17,Payroll Transaction,Payroll,-2876.54,Expense
2024-02-01,Investments Transaction,Investments,4234.56,Income
2024-03-16,Sales Transaction,Sales,3876.54,Income
2024-04-30,Sales Transaction,Sales,2654.32,Income
2024-05-14,Advertising Transaction,Advertising,-2345.67,Expense
2024-06-28,Services Transaction,Services,4567.89,Income
2024-07-12,Payroll Transaction,Payroll,-1765.43,Expense
2024-08-26,Office Supplies Transaction,Office Supplies,-3987.65,Expense
2024-09-09,Travel Transaction,Travel,-4234.56,Expense
2024-10-23,Office Supplies Transaction,Office Supplies,-3654.32,Expense
2024-11-06,Services Transaction,Services,3987.65,Income
